title,title_en,source,url,published_at,language,section
بدء تطبيق إصدار وتجديد الإقامة للعمالة المنزلية ومن في حكمها بمدد تبدأ من 3 أشهر,Implementation begins for issuing and renewing residency for domestic workers and similar categories with durations starting from 3 months,argaam.com,https://www.argaam.com/ar/article/articledetail/id/1921326,2026-07-19T14:42:00.000000Z,ar,Other
Comfortable Jobs That Can Make Real Money,,investedwallet.com,https://investedwallet.com/14-surprisingly-lucrative-jobs-no-one-talks-about-26-jul/,2026-07-19T14:30:02.000000Z,en,Other
Blue Owl Technology Finance Stock: Current Price Implies Half Portfolio Default (NYSE:OTF),,seekingalpha.com,https://seekingalpha.com/article/4923311-blue-owl-technology-finance-current-price-implies-half-portfolio-defaults-strong-buy,2026-07-19T14:21:24.000000Z,en,Other
Saudi Arabia launches index to track citizens’ readiness to own 1st home,,argaam.com,https://www.argaam.com/en/article/articledetail/id/1921318,2026-07-19T14:21:00.000000Z,en,Other
Экс-мэр Манчестера не раскрывает состав кабинета до вступления в права премьера,Manchester ex-mayor won't reveal cabinet lineup before taking office as PM,kommersant.ru,https://www.kommersant.ru/doc/8830051,2026-07-19T14:19:52.000000Z,ru,Other
Grassroots O2,Grassroots O2,o2and00823.blogspot.com,http://o2and00823.blogspot.com/feeds/3269208760131012952/comments/default,2026-07-19T14:15:43.000000Z,zh,Other
"BDCs: The More They Fall, The More I Buy (NYSEARCA:BIZD)",,seekingalpha.com,https://seekingalpha.com/article/4923010-bdcs-the-more-they-fall-the-more-i-buy,2026-07-19T14:15:00.000000Z,en,Other
ACV: Strong Returns But Even More Reason To Be Cautious (NYSE:ACV),,seekingalpha.com,https://seekingalpha.com/article/4923310-acv-strong-returns-but-even-more-reason-to-be-cautious,2026-07-19T14:15:00.000000Z,en,Other
"Boeing sees demand for 44,000 new aircraft by 2045 despite near-term disruptions (BA:NYSE)",,seekingalpha.com,https://seekingalpha.com/news/4615119-boeing-sees-demand-for-44000-new-aircraft-by-2045-despite-near-term-disruptions,2026-07-19T14:11:48.000000Z,en,Other
What a Great VP Sales Does In Their First Week. Watch For It.,,saastr.com,https://www.saastr.com/what-a-great-vp-sales-does-in-their-first-week-watch-for-it/,2026-07-19T14:10:07.000000Z,en,Other
I went on Walmart's last World Cup store tour. It was peak America.,,businessinsider.com,https://www.businessinsider.com/walmart-world-cup-store-tour-fifa-mania-ranch-dressing-2026-7,2026-07-19T14:09:12.000000Z,en,Other
Tanie paczki z Chin dostały potężny hamulec. Efekty widać już teraz,Cheap parcels from China hit a major slowdown. Effects already seen,innpoland.pl,"https://innpoland.pl/228838,tanie-paczki-z-chin-dostaly-potezny-hamulec-efekty-widac-juz-teraz",2026-07-19T14:09:01.000000Z,pl,Macro & Policy
How I Turned a Google Sheet Into a Lead-Generating Web Calculator (For Free),,medium.com,https://lovespreadsheets.medium.com/how-i-turned-a-google-sheet-into-a-lead-generating-web-calculator-for-free-bf5a39b70079,2026-07-19T14:06:01.000000Z,en,Other
Credo Stock: Biggest Opportunity Is Still Underestimated (NASDAQ:CRDO),,seekingalpha.com,https://seekingalpha.com/article/4923309-credo-biggest-opportunity-is-still-underestimated,2026-07-19T14:02:02.000000Z,en,Other
立碁大轉骨 1.6T CPO 模組打入北美大廠 AI 供應鏈 獲利迎爆發期,"Ligi's big revamp: 1.6T CPO module breaks into North American AI supply chain, profits set to explode",money.udn.com,https://money.udn.com/money/story/5612/9637773,2026-07-19T14:02:00.000000Z,zh,AI & Technology
"Moonshot, twórca największego modelu AI, przygotowuje IPO. Chiński startup chce wejść na giełdę w Hongkongu","Moonshot, creator of largest AI model, prepares IPO; Chinese startup eyes Hong Kong listing",pb.pl,https://www.pb.pl/moonshot-tworca-najwiekszego-modelu-ai-przygotowuje-ipo-chinski-startup-chce-wejsc-na-gielde-w-hongkongu-1264406,2026-07-19T14:00:00.000000Z,pl,AI & Technology
"Dette, fiscalité et déclin : l'avenir économique et social de la France p.265","Debt, taxation and decline: France's economic and social future",devenir-rentier.fr,https://www.investisseurs-heureux.fr/t2849-265#p651395,2026-07-19T13:59:44.000000Z,fr,Other
全球AI、半導體股是漲或跌 彭博：南韓股市成預警指標,Are global AI and semiconductor stocks rising or falling? Bloomberg says South Korean market is a warning indicator,news.ltn.com.tw,https://ec.ltn.com.tw/article/breakingnews/5510756,2026-07-19T13:58:55.000000Z,zh,AI & Technology
"피지컬 AI 인재 키운다… 메가존·테솔로, 로봇 교육부터 기술 개발까지 맞손",Cultivating physical AI talent: Megazone and Tesollo team up from robot education to tech development,venturesquare.net,https://www.venturesquare.net/1099486/,2026-07-19T13:58:08.000000Z,ko,AI & Technology
"계약도 AI가 끝낸다… BHSN, ‘앨리비’에 무료 전자서명까지 담았다",AI even handles contracts: BHSN adds free e-signatures to 'Allivi',venturesquare.net,https://www.venturesquare.net/1099494/,2026-07-19T13:58:08.000000Z,ko,AI & Technology
"일본 진출 문 두드리는 AI·SW 기업들… KOSA, 한일 비즈니스 연결했다",AI and software firms knock on Japan's door; KOSA bridges Korea-Japan business,venturesquare.net,https://www.venturesquare.net/1099511/,2026-07-19T13:58:08.000000Z,ko,AI & Technology
India’s IT services sector hints at hiring stabilisation,,thehindubusinessline.com,https://www.thehindubusinessline.com/companies/indias-it-services-sector-hints-at-hiring-stabilisation/article71241572.ece,2026-07-19T13:55:39.000000Z,en,Other
